"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
2.151956750E0,-1.055067778E0,2.177378654E0,-5.926409960E-1
2.162006750E0,-1.154965043E0,2.267305136E0,-5.401097536E-1
2.172056750E0,-1.232057929E0,2.271924734E0,-5.249755383E-1
2.182106750E0,-1.217432499E0,2.099180222E0,-5.511946678E-1
2.192156750E0,-1.143794179E0,1.747238398E0,-5.983682871E-1
2.202206750E0,-1.082139969E0,1.419910312E0,-6.517775655E-1
2.212256750E0,-1.063043833E0,1.222726107E0,-6.544715762E-1
2.222306750E0,-1.029151678E0,1.101475596E0,-5.634227395E-1
2.232356750E0,-9.164233804E-1,1.033385754E0,-4.119810164E-1
2.242406750E0,-6.925697923E-1,9.772221446E-1,-2.278880626E-1
2.252456750E0,-4.321486056E-1,9.160810709E-1,-7.321434468E-2
2.262506750E0,-2.372658253E-1,7.954605222E-1,3.766775876E-2
2.272556750E0,-1.382931769E-1,6.781769991E-1,1.016496718E-1
2.282606750E0,-8.342109621E-2,6.086821556E-1,1.173643693E-1
2.292656750E0,-3.885527607E-3,5.887779593E-1,1.271570772E-1
2.302706750E0,1.339127421E-1,6.037981510E-1,1.495031565E-1
2.312756750E0,3.122002184E-1,6.203555465E-1,1.729991734E-1
2.322806750E0,4.795351923E-1,6.613336205E-1,1.811939478E-1
2.332856750E0,5.791496634E-1,7.464134097E-1,1.676669568E-1
2.342906750E0,6.109138727E-1,8.744025230E-1,1.394559294E-1
2.352956750E0,6.352439523E-1,9.965387583E-1,9.389136732E-2
2.363006750E0,6.760918498E-1,1.100425482E0,4.973224550E-2
2.373056750E0,7.323604822E-1,1.203806281E0,1.938179880E-2
2.383106750E0,7.965442538E-1,1.299332380E0,5.553788505E-4
2.393156750E0,8.517801166E-1,1.360974908E0,-2.114272676E-2
2.403206750E0,9.014589190E-1,1.400317907E0,-4.317585379E-2
2.413256750E0,9.011535048E-1,1.429641247E0,-6.580686569E-2
2.423306750E0,8.215553164E-1,1.393433452E0,-1.263200343E-1
2.433356750E0,6.492770314E-1,1.233554840E0,-2.231280804E-1
2.443406750E0,4.438912570E-1,9.467105269E-1,-2.830766737E-1
2.453456750E0,2.633717954E-1,5.280203223E-1,-2.090874165E-1
2.463506750E0,1.555983275E-1,1.148660704E-1,-4.013106227E-2
2.473556750E0,8.403493464E-2,7.889818400E-3,9.959860146E-2
2.483606750E0,-8.832924068E-3,1.429866254E-1,1.885197461E-1
2.493655750E0,-1.409936249E-1,2.861594856E-1,2.789851725E-1
2.503705750E0,-3.064822257E-1,2.479530573E-1,3.650952280E-1
2.513755750E0,-4.271103740E-1,-7.643381506E-2,4.151080847E-1
2.523805750E0,-4.171366394E-1,-5.973247886E-1,4.449416399E-1
2.533855750E0,-2.675971985E-1,-1.032517910E0,4.313917458E-1
2.543905750E0,-9.330016375E-2,-1.077533960E0,3.793040216E-1
2.553955750E0,7.231729478E-2,-8.623524308E-1,3.327724934E-1
2.564005750E0,2.603488266E-1,-6.031312943E-1,3.028581440E-1
2.574055750E0,4.962425828E-1,-2.878430784E-1,2.855342925E-1
2.584105750E0,7.689526081E-1,1.621731222E-1,2.599065900E-1
2.594155750E0,1.028862834E0,7.550519109E-1,1.860773861E-1
2.604205750E0,1.182742834E0,1.467934847E0,5.577794462E-2
2.614255750E0,1.119678855E0,2.142302036E0,-1.107236817E-1
2.624305750E0,8.137026429E-1,2.501637220E0,-2.748494446E-1
2.634355750E0,3.462211788E-1,2.044417143E0,-3.894388676E-1
2.644405750E0,-1.003089473E-1,7.534576654E-1,-3.615895510E-1
2.654455750E0,-3.324982226E-1,-4.058358073E-1,-2.537024915E-1
2.664505750E0,-3.388290107E-1,-8.496007323E-1,-1.747614890E-1
2.674555750E0,-2.465390265E-1,-8.191773295E-1,-1.435071677E-1
2.684605750E0,-1.357896477E-1,-5.743975639E-1,-1.123387665E-1
2.694655750E0,-3.847001866E-2,-2.340173423E-1,-4.864287376E-2
2.704705750E0,5.507284030E-2,1.123117581E-1,3.829277679E-2
2.714755750E0,1.546878368E-1,3.193557560E-1,1.150834262E-1
2.724805750E0,2.650243938E-1,3.115034699E-1,1.508144289E-1
2.734855750E0,3.757125735E-1,1.816160381E-1,1.941975802E-1
2.744905750E0,4.599992335E-1,5.410840735E-2,2.298109680E-1
2.754955750E0,5.152569413E-1,4.716359079E-3,2.444881797E-1
2.765005750E0,5.378973484E-1,4.647582024E-2,2.495118380E-1
2.775055875E0,5.168557167E-1,1.476666182E-1,2.537284195E-1
2.785105875E0,4.390191436E-1,2.385198474E-1,2.455992252E-1
2.795155875E0,3.144820035E-1,2.641956508E-1,2.311004400E-1
2.805205875E0,1.786830425E-1,2.187290192E-1,2.178930044E-1
2.815255875E0,6.042351201E-2,1.689806283E-1,2.132367343E-1
2.825305875E0,-3.775283694E-3,1.669377536E-1,2.031599879E-1
2.835355875E0,-2.762069553E-2,2.049429268E-1,1.997815073E-1
2.845405875E0,-2.478481270E-2,2.828788459E-1,2.130299658E-1
2.855455875E0,-9.472435340E-3,3.654794395E-1,2.386157513E-1
2.865505875E0,1.984431222E-2,4.188930988E-1,2.725842595E-1
2.875555875E0,6.179229543E-2,4.433774054E-1,3.094056845E-1
2.885605875E0,1.116801053E-1,4.407394826E-1,3.519323170E-1
2.895655875E0,1.511444151E-1,4.246641099E-1,3.803327978E-1
2.905705875E0,1.872339994E-1,3.963337541E-1,3.978427351E-1
2.915755875E0,2.130533457E-1,3.750199378E-1,4.128560424E-1
2.925805875E0,2.312316149E-1,3.662465215E-1,4.195671976E-1
2.935855875E0,2.420927733E-1,3.653666079E-1,4.226282239E-1
2.945905875E0,2.383812666E-1,3.419798911E-1,4.143043160E-1
2.955955875E0,2.327958196E-1,2.489825785E-1,3.932725191E-1
2.966005875E0,2.064595819E-1,7.780253887E-2,3.645548820E-1
2.976055875E0,1.590358764E-1,-1.467096657E-1,3.274589181E-1
2.986105875E0,1.128380150E-1,-3.801958561E-1,2.698834538E-1
2.996155875E0,8.434458822E-2,-5.109565258E-1,1.875049472E-1
3.006205875E0,9.761270136E-2,-4.800261259E-1,8.403373510E-2
3.016255875E0,1.499083787E-1,-3.326816559E-1,-1.632562280E-2
3.026305875E0,2.076190561E-1,-7.244394720E-2,-7.833631337E-2
3.036355875E0,2.104971260E-1,2.570103705E-1,-7.957308739E-2
3.046405875E0,1.116975695E-1,5.116747022E-1,-3.304455057E-2
3.056455875E0,-6.424842775E-2,5.548589230E-1,4.858346656E-2
3.066505875E0,-2.790219784E-1,4.135845900E-1,1.271762699E-1
3.076555875E0,-4.767430425E-1,1.775116175E-1,1.764074713E-1
3.086605875E0,-6.219948530E-1,-7.235390693E-2,2.095107883E-1
3.096655875E0,-7.233625054E-1,-2.673854530E-1,2.080082297E-1
3.106705875E0,-7.842232585E-1,-3.876713514E-1,1.540980190E-1
3.116755875E0,-8.102511168E-1,-3.599576950E-1,6.240617856E-2
3.126805875E0,-8.092924953E-1,-1.627743393E-1,-5.384831131E-2
3.136855875E0,-8.250376582E-1,1.456705779E-1,-1.725336760E-1
3.146905875E0,-8.826983571E-1,4.675256014E-1,-2.820754647E-1
3.156955875E0,-9.804512858E-1,7.221707106E-1,-3.754166365E-1
3.167005875E0,-1.064410090E0,8.839303255E-1,-4.461897016E-1
3.177055875E0,-1.104813218E0,9.959607124E-1,-4.864932001E-1
3.187105875E0,-1.129420996E0,1.088931799E0,-5.131520033E-1
3.197155875E0,-1.155060410E0,1.096202016E0,-5.429935455E-1
3.207205875E0,-1.172484756E0,1.015207052E0,-5.791176558E-1
3.217255875E0,-1.178672314E0,8.701201677E-1,-6.296892166E-1
3.227305875E0,-1.163826585E0,7.163832188E-1,-6.748232245E-1
3.237355875E0,-1.104896903E0,5.572515726E-1,-7.160204649E-1
3.247405875E0,-9.577740431E-1,3.618695438E-1,-7.478241920E-1
3.257455875E0,-7.620229125E-1,1.846505553E-1,-7.579782605E-1
3.267505875E0,-5.503478050E-1,8.741706610E-3,-7.673097849E-1
3.277555875E0,-3.152221739E-1,-2.369119972E-1,-7.964223623E-1
3.287605875E0,-1.418227702E-1,-4.236903489E-1,-8.379095197E-1
3.297655875E0,-7.305914909E-2,-4.871422946E-1,-8.915743828E-1
3.307705875E0,-8.399331570E-2,-5.014221072E-1,-9.402405024E-1
3.317755875E0,-1.533614695E-1,-5.323725939E-1,-9.877614379E-1
3.327805875E0,-2.738835514E-1,-6.332147717E-1,-1.028029442E0
3.337855875E0,-3.853243291E-1,-7.906696200E-1,-1.032622099E0
3.347905875E0,-4.168355167E-1,-9.291601181E-1,-9.967925549E-1
3.357955875E0,-3.815566301E-1,-9.846069217E-1,-9.284989834E-1
3.368005875E0,-3.232295215E-1,-9.706746936E-1,-8.436285257E-1
3.378055875E0,-2.825715840E-1,-8.736836910E-1,-7.815893888E-1
3.388105875E0,-2.565737069E-1,-7.247636914E-1,-7.420972586E-1
3.398155875E0,-2.449101210E-1,-5.644555092E-1,-7.113486528E-1
3.408205875E0,-2.300453633E-1,-4.426217377E-1,-6.535740495E-1
3.418255875E0,-2.035746127E-1,-3.473881781E-1,-5.672509074E-1
3.428305875E0,-1.677515805E-1,-2.914335132E-1,-4.810289145E-1
3.438355875E0,-1.191046759E-1,-2.521260381E-1,-3.948535323E-1
3.448405875E0,-5.039081722E-2,-2.030636817E-1,-3.125258982E-1
3.458455875E0,1.383770350E-2,-1.429806352E-1,-2.312808335E-1
3.468505875E0,5.683784559E-2,-1.123474091E-1,-1.489095390E-1
3.478555875E0,9.412743151E-2,-1.313330829E-1,-7.228585333E-2
3.488605875E0,1.178970039E-1,-1.703481674E-1,5.215702113E-3
3.498655875E0,1.352520138E-1,-1.892001480E-1,9.156204015E-2
3.508705875E0,1.682592332E-1,-1.895712763E-1,1.950715184E-1
3.518755875E0,2.063688040E-1,-1.846281886E-1,2.921056449E-1
3.528805875E0,2.364276946E-1,-1.730235368E-1,3.816362023E-1
3.538855875E0,2.320345491E-1,-1.622180194E-1,4.596705437E-1
3.548905875E0,1.986461580E-1,-1.847866625E-1,5.180405378E-1
3.558955875E0,1.648783386E-1,-2.451717108E-1,5.399405360E-1
3.569005875E0,1.588383615E-1,-3.562159836E-1,5.483170748E-1
3.579055875E0,1.733952016E-1,-4.603248239E-1,5.514284372E-1
