,Time (s),X (m/s^2),Y (m/s^2),Z (m/s^2)
9228,91.96494262,-0.4881349182,-8.92069931,1.309925995
9229,91.97492162,-0.1426533508,-8.991202698,1.385967865
9230,91.98487062,0.1225950623,-9.095386047,1.244811401
9231,91.99484962,0.3174897766,-9.265731812,0.9060658264
9232,92.00479862,0.3305126953,-9.451794891,0.5457650757
9233,92.01477763,0.2306703186,-9.673932953,0.325872345
9234,92.02472663,0.09684860229,-9.907297668,0.21884490969999998
9235,92.03470563,-0.04760101318,-10.09126511,0.0339793396
9236,92.04468462,-0.1880090332,-10.2665506,-0.3623963928
9237,92.05463362,-0.4926255798,-10.48464706,-0.9535171509
9238,92.06461262,-1.17595459,-10.538535,-1.17475708
9239,92.07456162,-2.095193024,-10.41564056,-0.613125
9240,92.08454063,-2.892135773,-10.30846344,0.2757266235
9241,92.09448963,-3.3133598330000003,-10.32522858,0.8762777709999999
9242,92.10446863,-3.2956965639999996,-10.43944107,0.923429718
9243,92.11444762,-2.962489471,-10.5160817,0.619561615
9244,92.12439662,-2.5512945559999998,-10.54811508,0.1630110168
9245,92.13437562,-2.2450314330000003,-10.60140427,-0.27258316039999997
9246,92.14432462,-2.016157379,-10.74794952,-0.6101312256
9247,92.15430363,-1.703158264,-10.94553864,-0.8867559814
9248,92.16425262,-1.2909155270000001,-11.03460342,-1.3739927669999998
9249,92.17423163,-0.8399034119,-11.12456635,-2.031874695
9250,92.18421162,-0.5843847656000001,-11.30539032,-2.6288333130000003
9251,92.19415962,-0.7920030212000001,-11.80939224,-2.832110596
9252,92.20413962,-1.3919554140000001,-12.47266296,-2.30041626
9253,92.21408762,-2.0764819340000003,-12.77368698,-1.3723461909999999
9254,92.22406763,-2.6740393069999997,-13.02217026,-0.5336402893
9255,92.23401562,-3.208278351,-13.2246991,0.2918930054
9256,92.24399563,-3.740122375,-12.65213974,1.119521942
9257,92.25397462,-4.132905579,-11.54010223,1.292562103
9258,92.26392263,-4.055815887,-10.47072601,0.7485932922
9259,92.27390262,-3.2644116210000003,-9.85445755,0.49067962649999997
9260,92.28385062,-1.912722473,-9.778116302,0.6170169067
9261,92.29383062,-0.5584886169,-10.17568954,1.34210907
9262,92.30380963,0.5769003296,-11.22620499,2.624342651
9263,92.31375863,1.5295193480000002,-12.84673508,3.688030701
9264,92.32373762,2.323318634,-14.24632462,4.014352112
9265,92.33368663,2.852468262,-15.36554718,3.562292175
9266,92.34366562,3.061583405,-16.08599899,2.76145752
9267,92.35361462,3.004552002,-15.6306459,1.830243988
9268,92.36359362,2.7551705930000003,-14.18899384,0.9669891356999999
9269,92.37357263,2.332299957,-12.54466324,0.1600172424
9270,92.38352163,1.87215683,-11.1039093,-0.5535488892
9271,92.39350063,1.336420898,-10.00429596,-1.121018829
9272,92.40344963,0.4387376404,-9.297615509,-1.272952881
9273,92.41342862,-0.3213816833,-9.43203598,-1.024619293
9274,92.42337762,-0.559536438,-9.285191345,-1.3792318730000002
9275,92.43335662,-0.6189628601,-8.807534637,-1.3762380980000002
9276,92.44333563,-1.052611084,-8.439749451,-0.33904495240000004
9277,92.45328463,-1.508113861,-8.310119019,0.8550219726999999
9278,92.46326363,-1.870360565,-8.269403687,0.8497828674
9279,92.47321263,-2.029479675,-8.486452332,-0.3698808289
9280,92.48319162,-1.712438965,-8.912915497,-0.9172924805
9281,92.49314062,-1.30812973,-9.211694182999999,-0.8807684326
9282,92.50311962,-0.9147477722,-9.222771149,-0.7617658997
9283,92.51309963,-0.6024971008,-8.949289856,-0.9051676941
9284,92.52304762,-0.2168989563,-8.652906189,-1.023571472
9285,92.53302663,0.23216720579999997,-8.271798706,-1.045426025
9286,92.54297563,0.6830296326,-7.641160126,-0.757275238
9287,92.55295462,0.9036708069,-6.960525512999999,-0.3737727356
9288,92.56290363,0.9940827942,-6.290219421000001,-0.2345622253
9289,92.57288262,1.1834390259999998,-5.729036407000001,-0.2242337036
9290,92.58286263,1.5161970519999999,-5.356161804,-0.24833358760000002
9291,92.59281062,1.8455122380000002,-4.968767395,-0.06960525512999999
9292,92.60279063,1.981429596,-4.655468903,0.19743942260000003
9293,92.61273863,1.852547607,-4.683311005,-0.1187031555
9294,92.62271862,1.537303162,-4.764292603,-0.6221063232
9295,92.63266663,1.027014313,-4.876858521,-1.212029572
9296,92.64264662,0.5120851135,-4.964875488000001,-1.728755035
9297,92.65262562,0.1353186035,-5.144352264,-2.167941742
9298,92.66257462,-0.08083190918,-5.455854492,-2.651585999
9299,92.67255363,-0.137713623,-5.844296722,-3.2235466
9300,92.68250263,-0.2263293457,-6.48346756,-3.7446130369999997
9301,92.69248163,-0.3796105957,-7.366930389,-4.286336517
9302,92.70241413,-0.6469546509,-8.284821625,-4.911137238
9303,92.71239313,-1.1009605409999998,-9.637857971,-5.6121295170000005
9304,92.72237212,-1.529070282,-11.23009689,-6.656358032000001
9305,92.73232112,-1.7570462040000001,-12.69150787,-8.246651001
9306,92.74230012,-1.807640991,-13.88856857,-10.21176453
9307,92.75224912,-1.85224823,-14.54809708,-11.30658783
9308,92.76222813,-1.9450552369999998,-14.47714462,-10.69481003
