,Time (s),X (rad/s),Y (rad/s),Z (rad/s)
8381,83.67426129,-1.69399035,0.000823866576,-0.9125065206999999
8382,83.68424029,-1.345718145,-0.3789282441,-0.03943833709
8383,83.69417617,-0.628115654,-0.8068859576999999,0.516669631
8384,83.70412417,0.02197955549,-1.290740252,0.7337474823000001
8385,83.71410417,0.6199764013,-1.74566412,0.7269138098000001
8386,83.72405217,1.123198748,-2.093421221,0.5513121486
8387,83.73403217,1.5982481240000002,-2.3341012,0.2284483612
8388,83.74398017,1.925475478,-2.70280385,-0.2584125996
8389,83.75396017,1.8313682080000002,-3.259814739,-0.7852258086
8390,83.76393917,1.601926446,-3.5412278180000003,-1.209030628
8391,83.77388817,1.38939178,-3.366773367,-1.523634195
8392,83.78386717,1.1845998759999998,-2.83624959,-1.5775864119999998
8393,83.79381617,0.9208068252,-2.128037214,-1.210121274
8394,83.80379517,0.6156575084,-1.289227843,-0.5908870101
8395,83.81374417,0.39961758259999997,-0.530051887,-0.106944032
8396,83.82372317,0.43861189479999996,-0.02866386995,0.01393089257
8397,83.83370217,0.6112204193999999,0.09077171981000001,0.049523510039999996
8398,83.84365117,0.7724629045,-0.1660529375,0.1526281983
8399,83.85363017,0.9111475348,-0.6405643225,0.2669635713
8400,83.86357917,1.013179064,-1.17660594,0.3468646407
8401,83.87355817,1.052207947,-1.634465694,0.38396087289999997
8402,83.88350717,1.005109787,-1.898491621,0.3564147949
8403,83.89348617,0.8763278723000001,-1.933682919,0.2612118423
8404,83.90346517,0.7174604535,-1.761533618,0.1230712608
8405,83.91341417,0.5905514956,-1.4551018480000002,-0.031125234439999996
8406,83.92339317,0.49904307719999996,-1.164806843,-0.1494814456
8407,83.93334217,0.428835243,-0.9481366277,-0.18480986359999999
8408,83.94332117,0.3634401262,-0.8345846534,-0.1727083921
8409,83.95327017,0.30807435510000003,-0.8724492192000001,-0.1234969124
8410,83.96324917,0.2878614664,-0.9813699126000001,-0.06537651271
8411,83.97322817,0.29254436489999996,-1.121662855,0.006157591008
8412,83.98317717,0.2985814512,-1.2903543709999998,0.044666171069999996
8413,83.99315617,0.2829689384,-1.426071405,0.05299121513999999
8414,84.00310517,0.2502365708,-1.478990555,0.08500221372000001
8415,84.01308417,0.2229950875,-1.483465791,0.1060118899
8416,84.02303317,0.1870257258,-1.470116496,0.1060652807
8417,84.03301217,0.1382957399,-1.4106187819999998,0.08321003616
8418,84.04299217,0.09488455951,-1.325759292,0.04272916168
8419,84.05294017,0.06811952591,-1.268436074,-0.00030006445010000003
8420,84.06292017,0.07041547447,-1.243675351,-0.015486304650000001
8421,84.07286817,0.08873083442,-1.25347209,-0.0066587245090000005
8422,84.08284817,0.1069446057,-1.265570164,0.009178532287
8423,84.09279617,0.1477445066,-1.212232113,0.03348520398
8424,84.10277617,0.1584177017,-1.157161474,0.02935745381
8425,84.11275517,0.10190568859999999,-1.16948092,-0.01100381929
8426,84.12270417,0.03269184381,-1.208740711,-0.05376108363
8427,84.13268317,0.011799877509999999,-1.213284373,-0.09325177222000001
8428,84.14263117,-0.02149182744,-1.307635546,-0.1441638321
8429,84.15261117,-0.0519053936,-1.4153529409999999,-0.1878644377
8430,84.16255917,-0.06929549575,-1.504000068,-0.2211893648
8431,84.17253917,-0.07011734694,-1.5861564869999998,-0.2389185727
8432,84.18251817,-0.07598445565,-1.680383444,-0.2387292981
8433,84.19246717,-0.09619678557,-1.7976652380000002,-0.2286308557
8434,84.20244617,-0.1281978637,-1.953802109,-0.2036317587
8435,84.21239517,-0.17381408809999999,-2.129192352,-0.1952747554
8436,84.22237417,-0.2221812308,-2.288630724,-0.20614534620000002
8437,84.23232317,-0.2534528673,-2.410688639,-0.2311023623
8438,84.24230217,-0.2801399827,-2.466742992,-0.2651430666
8439,84.25228117,-0.30145832899999997,-2.450396776,-0.317691505
8440,84.26223017,-0.3187037706,-2.402971268,-0.3903526068
8441,84.27220917,-0.3263153434,-2.347545147,-0.4593947828
8442,84.28215817,-0.325271517,-2.3088212009999998,-0.49106884
8443,84.29213717,-0.3417146802,-2.283900976,-0.45314171909999995
8444,84.30208617,-0.37154653670000004,-2.246748686,-0.3336640298
8445,84.31206517,-0.40851759909999996,-2.198729277,-0.2041364014
8446,84.32204417,-0.4390726984,-2.118413687,-0.116171822
8447,84.33199317,-0.45407110450000004,-2.039237022,-0.08529353142000001
8448,84.34197217,-0.44472041729999995,-2.049378395,-0.1101801023
8449,84.35192117,-0.42710065840000005,-2.085902214,-0.1627753973
8450,84.36190017,-0.430559963,-2.082196474,-0.24296161530000002
8451,84.37188017,-0.460025996,-2.029876947,-0.3384644389
8452,84.38182817,-0.5078751445,-1.96988976,-0.40816345810000004
8453,84.39180817,-0.5800406336999999,-1.940088391,-0.4449944496
8454,84.40175617,-0.6712945104000001,-1.980422735,-0.4680780768
8455,84.41173617,-0.761302948,-2.097345352,-0.5032672286
8456,84.42168417,-0.8585450053,-2.288697481,-0.5536331534000001
8457,84.43166317,-0.9517383575,-2.519117117,-0.6035447717
8458,84.44164317,-1.041306257,-2.747380495,-0.6409785748
8459,84.45159117,-1.1122102740000002,-2.9509241580000003,-0.6870267391
8460,84.46157117,-1.168477893,-3.115276575,-0.7434614301000001
8461,84.47151917,-1.1856012340000002,-3.269856215,-0.7908145784999999
8462,84.48149917,-1.152169704,-3.4133918289999996,-0.8168231845
8463,84.49144717,-1.067732573,-3.502286673,-0.8375210166
8464,84.50142717,-0.9834741354000001,-3.552270412,-0.8762403727
8465,84.51140617,-0.8153588772,-3.5100224019999997,-0.8631128669
8466,84.52135517,-0.600869,-3.332871675,-0.8315750359999999
8467,84.53133417,-0.4466088712,-3.195681095,-0.8353034257999999
8468,84.54128317,-0.3745619953,-3.026963472,-0.8571123481
8469,84.55126217,-0.3128192723,-2.857787132,-0.8680617212999999
8470,84.56121117,-0.2204438895,-2.81804204,-0.8758022784999999
8471,84.57119017,-0.1462175846,-2.889571905,-0.8911559581999999
8472,84.58116917,-0.09925819187999999,-2.945395708,-0.8549638987
8473,84.59111817,-0.038831599060000006,-2.968022585,-0.8208163381
8474,84.60109717,0.05736144632,-2.918583155,-0.8014321326999999
8475,84.61104617,0.1840898395,-2.7943003180000003,-0.7918623686
8476,84.62102517,0.32831987739999996,-2.619804382,-0.7674463390999999
8477,84.63097417,0.47782549259999996,-2.431552887,-0.7250149845999999
8478,84.64095317,0.6224986911,-2.2995676990000002,-0.6976522206999999
8479,84.65093217,0.7495222092,-2.288959742,-0.645380199
8480,84.66088117,0.8260266781000001,-2.41364193,-0.5070179700999999
8481,84.67086017,0.8228622675,-2.620424271,-0.33661162850000004
8482,84.68080917,0.7768805623,-2.7709305289999997,-0.212143153
8483,84.69078817,0.7456379532999999,-2.820080996,-0.1457856894
8484,84.70072067,0.7264742851,-2.7875084880000003,-0.1233914867
8485,84.71069967,0.7129355668999999,-2.670631409,-0.1172260046
8486,84.72067867,0.7013939023000001,-2.553201437,-0.124690488
8487,84.73062767,0.7178130746,-2.4914543630000003,-0.1323286891
8488,84.74060667,0.7421488166,-2.479062796,-0.1357416213
8489,84.75055567,0.7484849691,-2.472922564,-0.1323658079
8490,84.76053467,0.7303512692,-2.453219175,-0.1351658553
8491,84.77048367,0.7096097469,-2.439756632,-0.12990424039999998
8492,84.78046267,0.7035614252,-2.446528196,-0.1114031225
8493,84.79044267,0.7338535786,-2.469941616,-0.06511472166
8494,84.80039067,0.8029792309,-2.5052506919999997,0.002177546266
8495,84.81037067,0.8952966332,-2.519477129,0.0642560944
8496,84.82031867,0.9644907712999999,-2.443462372,0.1108337939
8497,84.83029867,1.000697017,-2.271484375,0.1516970694
8498,84.84024667,1.01813817,-2.00240922,0.15333151820000002
8499,84.85022667,1.0094594959999998,-1.685937405,0.15895850960000002
8500,84.86020567,0.8967461586,-1.420166016,0.2416492254
8501,84.87015467,0.660718143,-1.271611333,0.3513142169
8502,84.88013367,0.4304925203,-1.384568214,0.45241025090000003
8503,84.89008267,0.3458617926,-1.78094852,0.5237722993
8504,84.90006167,0.39204579590000005,-2.35291028,0.5493201017
8505,84.91001067,0.4080274403,-2.8422496319999997,0.5773698092
8506,84.91998967,0.291326493,-2.929369926,0.6552399993
8507,84.92996867,0.0810797736,-2.591308355,0.7488972545
8508,84.93991767,-0.07653961331,-2.029075384,0.7147045731999999
8509,84.94989667,-0.1165727898,-1.346921325,0.5179507732
8510,84.95984567,-0.03970214352,-0.4824111462,0.2704564929
8511,84.96982467,0.06779661775000001,0.2167165875,-0.01216880791
8512,84.97977367,0.09202446043,0.1300674379,-0.2290534526
8513,84.98975267,0.00474468153,-0.5701803565,-0.2810884118
8514,84.99973167,-0.1055373475,-1.337644815,-0.23360586170000003
8515,85.00968067,-0.1690864861,-1.841551185,-0.1821226925
8516,85.01965967,-0.2070378661,-1.965722322,-0.09469084442
8517,85.02960867,-0.2054516971,-1.8247746230000002,0.0040708822200000005
8518,85.03958767,-0.1327117085,-1.7235896590000002,0.09974734484999999
8519,85.04956667,-0.04092719778,-1.770508885,0.179684788
