"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
1.652005083E0,-8.315657501E0,-9.306147766E0,-6.189628601E-1
1.662018083E0,-7.597151642E0,-8.806786194E0,2.390528870E-1
1.672030083E0,-5.781427460E0,-8.188721466E0,8.831634521E-1
1.682042083E0,-3.719165955E0,-7.415878601E0,1.020877075E0
1.692054083E0,-2.445464630E0,-6.466103668E0,7.578739929E-1
1.702066083E0,-2.378254395E0,-5.673052826E0,4.716691589E-1
1.712078083E0,-3.048710175E0,-5.647006989E0,1.032852173E-1
1.722090083E0,-4.004472656E0,-6.268215179E0,-4.617897034E-1
1.732103083E0,-4.979694672E0,-7.368427277E0,-9.942324829E-1
1.742115083E0,-6.025270386E0,-8.583899689E0,-1.093625793E0
1.752127083E0,-6.939269714E0,-9.263037415E0,-4.983137512E-1
1.762139083E0,-7.380252686E0,-9.265432434E0,5.020559692E-1
1.772151083E0,-7.351811829E0,-9.026678925E0,1.268611908E0
1.782163083E0,-7.308701477E0,-8.606203308E0,1.496288452E0
1.792175083E0,-8.414002991E0,-6.562652893E0,7.906558228E-1
1.802188083E0,-1.218406311E1,-9.505233765E-1,-1.222956848E-1
1.812200083E0,-8.835825806E0,-7.514822845E0,1.335672455E0
1.822212083E0,-7.605085144E0,-1.001043320E1,6.188131714E-1
1.832224083E0,-7.151528320E0,-8.534203033E0,3.520678711E-1
1.842236083E0,-6.193969574E0,-7.118896179E0,1.190773773E0
1.852248083E0,-5.460644531E0,-6.962022400E0,1.009949799E0
1.862260083E0,-4.903802490E0,-7.323071594E0,4.595443726E-1
1.872273083E0,-4.617447968E0,-7.485932922E0,3.832031250E-2
1.882285083E0,-4.600682831E0,-7.511529694E0,-5.553451538E-2
1.892297083E0,-4.981790314E0,-7.270830231E0,-1.107696533E-2
1.902309083E0,-5.784870300E0,-6.974596252E0,3.161425781E-1
1.912321083E0,-6.882238312E0,-6.455775146E0,6.153703308E-1
1.922333083E0,-7.548802185E0,-6.012696533E0,8.234376526E-1
1.932345083E0,-7.732021179E0,-5.675148468E0,1.055604858E0
1.942358083E0,-7.640112305E0,-5.532944183E0,1.338516541E0
1.952370083E0,-7.361541595E0,-5.581593018E0,1.588496704E0
1.962382083E0,-7.066505127E0,-5.723797302E0,1.787582703E0
1.972394083E0,-6.802603912E0,-5.876629486E0,1.911974030E0
1.982406083E0,-6.636000366E0,-6.155798950E0,1.886976013E0
1.992418083E0,-6.606661377E0,-6.489904175E0,1.709594879E0
2.002431083E0,-6.467899933E0,-7.093449097E0,1.420845337E0
2.012443083E0,-6.153403931E0,-7.291636963E0,1.367855530E0
2.022455083E0,-6.007008362E0,-6.850204926E0,1.368304596E0
2.032467083E0,-6.049070892E0,-6.443800049E0,1.429826660E0
2.042479083E0,-6.199807434E0,-6.094127197E0,1.486109619E0
2.052491083E0,-6.485563202E0,-5.621709595E0,1.348545685E0
2.062503083E0,-6.817872162E0,-5.275329895E0,1.131497040E0
2.072516083E0,-7.031777344E0,-5.179828491E0,8.828640747E-1
2.082528083E0,-7.077731781E0,-5.383105774E0,8.135581970E-1
2.092540083E0,-7.070546722E0,-5.852230225E0,7.930508423E-1
2.102552083E0,-7.389683075E0,-6.410868530E0,1.120420074E0
2.112564083E0,-8.004005585E0,-6.455625458E0,1.851948853E0
2.122576083E0,-8.508157196E0,-6.397097168E0,2.162702637E0
2.132588083E0,-8.719367981E0,-6.052663422E0,2.263443146E0
2.142601083E0,-8.766070862E0,-6.172115021E0,1.780397644E0
2.152613083E0,-8.968000946E0,-6.572831726E0,1.009800110E0
2.162625083E0,-9.467661896E0,-7.095544739E0,5.992039490E-1
2.172637083E0,-1.018047958E1,-7.874075775E0,4.210743713E-1
2.182649083E0,-1.091769653E1,-8.670868835E0,-2.978805542E-2
2.192661083E0,-1.128428421E1,-9.187893677E0,-3.643423462E-1
2.202673083E0,-1.148097519E1,-9.790091400E0,-6.855743408E-1
2.212686083E0,-1.192300598E1,-1.066502197E1,-1.038240967E0
2.222698083E0,-1.198692307E1,-1.120225479E1,-1.088386688E0
2.232710083E0,-1.108654541E1,-1.101649109E1,-7.692503357E-1
2.242722083E0,-9.533375244E0,-1.014635056E1,-6.180647278E-1
2.252734083E0,-7.517217865E0,-8.841813354E0,-3.351530457E-1
2.262746083E0,-5.304668884E0,-7.593559113E0,1.369651794E-1
2.272758083E0,-3.605402527E0,-6.677164764E0,7.912545776E-1
2.282771083E0,-2.971171417E0,-6.034102020E0,1.476379852E0
2.292783083E0,-3.079695740E0,-7.068750458E0,2.450104980E0
2.302795083E0,-3.722010040E0,-7.867788849E0,2.540516968E0
2.312807083E0,-4.466861115E0,-8.191415863E0,2.635269928E0
2.322819083E0,-5.087171173E0,-8.408165131E0,2.883304138E0
2.332831083E0,-5.454058228E0,-8.489595795E0,2.681224365E0
2.342843083E0,-5.660478973E0,-8.242160339E0,1.987566833E0
2.352856083E0,-5.843548279E0,-7.762857056E0,1.486408997E0
2.362868083E0,-6.058800659E0,-7.443271637E0,1.311273193E0
2.372880083E0,-6.472989349E0,-7.186405792E0,1.051712952E0
2.382892083E0,-7.317982178E0,-6.762786713E0,8.928932190E-1
2.392904083E0,-8.630303192E0,-6.534511414E0,1.200054474E0
2.402916083E0,-9.946516113E0,-6.317313080E0,1.804647217E0
2.412928083E0,-1.077010345E1,-6.336473236E0,2.681523743E0
2.422941083E0,-1.070603668E1,-6.394402771E0,3.151546326E0
2.432953083E0,-9.699829102E0,-6.567143555E0,3.366798706E0
2.442965083E0,-8.226293335E0,-6.801556091E0,3.161874847E0
2.452977083E0,-6.873556366E0,-7.008874969E0,2.662213898E0
2.462989083E0,-5.766009521E0,-7.095694427E0,2.180365906E0
2.473001083E0,-4.862488403E0,-7.028184814E0,1.952240295E0
2.483014083E0,-4.128863983E0,-6.874604187E0,2.135010223E0
2.493026083E0,-3.428470459E0,-6.683002625E0,2.766696625E0
2.503038083E0,-2.805016937E0,-6.533313904E0,3.517086182E0
2.513050083E0,-2.570155334E0,-6.272705841E0,3.934568024E0
2.523062083E0,-2.780018921E0,-5.944288788E0,3.985761566E0
2.533074083E0,-3.950734406E0,-4.959337006E0,3.256927185E0
2.543086083E0,-5.065166931E0,-4.547393646E0,3.695066071E0
2.553098083E0,-5.019212494E0,-6.033353577E0,3.578159180E0
2.563111083E0,-5.784271545E0,-5.426665192E0,2.784659271E0
2.573123083E0,-6.229146423E0,-4.706213379E0,2.526296539E0
2.583134833E0,-6.020330658E0,-4.484674072E0,2.332299957E0
2.593146833E0,-5.560636597E0,-4.251908112E0,2.459086304E0
2.603158833E0,-5.040019226E0,-4.060456238E0,2.897225189E0
2.613170833E0,-4.876559143E0,-3.850592651E0,3.387755127E0
2.623183833E0,-5.103936310E0,-3.780388641E0,3.951482849E0
2.633195833E0,-5.743406525E0,-3.788920898E0,4.630321198E0
2.643207833E0,-6.648723907E0,-4.058510284E0,5.395829315E0
2.653219833E0,-7.589517517E0,-4.505331116E0,6.100863190E0
2.663231833E0,-8.335117035E0,-4.974455566E0,6.520290985E0
2.673243833E0,-8.633296967E0,-5.442681885E0,6.453978882E0
2.683255833E0,-8.276139679E0,-5.784720612E0,5.619464264E0
2.693268833E0,-7.644303589E0,-5.789959717E0,4.351301422E0
2.703280833E0,-7.400310974E0,-5.559888153E0,3.307222595E0
2.713292833E0,-7.455396423E0,-5.274880829E0,3.028651886E0
2.723304833E0,-7.753426666E0,-5.080584869E0,3.435954895E0
2.733316833E0,-8.154442749E0,-4.907544708E0,4.090094604E0
2.743328833E0,-8.608748016E0,-5.207820282E0,4.290378113E0
2.753340833E0,-9.477241974E0,-6.378086700E0,4.310586090E0
2.763353833E0,-1.086530548E1,-7.948171692E0,3.846700745E0
2.773365833E0,-1.165431473E1,-9.545799408E0,2.195634155E0
2.783377833E0,-1.119147720E1,-1.109507767E1,3.309617615E-1
2.793389833E0,-9.934690704E0,-1.181178726E1,-1.159039764E0
2.803401833E0,-8.582402802E0,-1.117082016E1,-1.845811615E0
2.813413833E0,-7.032525787E0,-9.997559967E0,-1.690584412E0
2.823425833E0,-5.679339752E0,-9.034911804E0,-1.194066925E0
2.833438833E0,-4.818180542E0,-8.228987732E0,-7.982899475E-1
2.843450833E0,-4.383185120E0,-7.323820038E0,-6.432124329E-1
2.853462833E0,-4.136797485E0,-6.252048798E0,-5.285508728E-1
2.863474833E0,-4.579726410E0,-4.517904968E0,-8.909472656E-1
2.873486833E0,-5.018464050E0,-2.868185577E0,-6.219566345E-1
2.883498833E0,-4.633464661E0,-3.722459106E0,2.871029663E-1
2.893510833E0,-4.652924194E0,-5.938600616E0,-3.324586487E-1
2.903523833E0,-5.284610596E0,-7.298073578E0,-4.773573303E-1
2.913535833E0,-5.946833496E0,-7.606582031E0,6.271957397E-2
2.923547833E0,-6.206992493E0,-7.495213623E0,4.472698975E-1
2.933559833E0,-5.893843689E0,-7.558382263E0,2.186952209E-1
2.943571833E0,-5.432053986E0,-7.553442535E0,1.796264648E-2
2.953583833E0,-5.120851135E0,-8.115972748E0,2.155517578E-2
2.963595833E0,-5.942342834E0,-8.169261932E0,4.366419983E-1
2.973608833E0,-7.424560547E0,-7.843539276E0,9.945318604E-1
2.983620833E0,-8.370593262E0,-7.648644562E0,1.161285095E0
2.993632833E0,-8.447982330E0,-7.488926697E0,1.018482056E0
3.003644833E0,-8.297395477E0,-7.102280731E0,8.571176147E-1
3.013656833E0,-8.034691772E0,-6.982829132E0,8.569679260E-1
3.023668833E0,-7.822433167E0,-6.853647766E0,9.134005737E-1
3.033680833E0,-7.586823120E0,-6.690936127E0,8.904981995E-1
3.043693833E0,-7.528893585E0,-6.204148407E0,7.613168335E-1
3.053705833E0,-7.357200623E0,-5.970184937E0,5.818400574E-1
3.063717833E0,-7.152127075E0,-5.916746063E0,4.019142151E-1
3.073729833E0,-6.962920532E0,-5.928122406E0,3.170407104E-1
3.083741833E0,-6.685846710E0,-6.284531250E0,2.338137817E-1
3.093753833E0,-6.733747101E0,-6.192772064E0,3.861968994E-2
3.103765833E0,-6.739584961E0,-6.213578796E0,1.496887207E-4
3.113777833E0,-6.685098267E0,-6.427334290E0,5.852828979E-2
3.123790833E0,-6.678212585E0,-6.636898499E0,1.160087585E-1
3.133802833E0,-6.392456818E0,-6.869065704E0,4.143383789E-1
3.143814833E0,-6.379134521E0,-6.368806000E0,7.003935242E-1
3.153826833E0,-6.567742310E0,-5.909561005E0,8.196954346E-1
3.163838833E0,-6.774013367E0,-5.805527344E0,9.702822876E-1
3.173850833E0,-6.955735474E0,-5.841752014E0,1.119821320E0
3.183862833E0,-7.044650574E0,-5.945186920E0,1.207239532E0
3.193875833E0,-7.059769135E0,-6.118825836E0,1.307381287E0
3.203887833E0,-6.940616913E0,-6.131100311E0,1.341510315E0
3.213899833E0,-6.790030060E0,-6.159990234E0,1.335672455E0
3.223911833E0,-6.801556091E0,-6.189179535E0,1.269809418E0
3.233923833E0,-6.909781036E0,-6.218069458E0,1.185384979E0
3.243935833E0,-7.085964661E0,-6.307433624E0,1.166524200E0
3.253947833E0,-7.381749573E0,-6.349196777E0,1.129251709E0
3.263960833E0,-7.829917603E0,-6.180048523E0,1.029409332E0
3.273972833E0,-8.396938477E0,-6.040388947E0,7.698490906E-1
3.283984833E0,-8.940757599E0,-6.091732178E0,5.923182678E-1
3.293996833E0,-9.297765198E0,-6.368356934E0,5.203179932E-1
3.304008833E0,-9.484277344E0,-6.528074799E0,5.626799011E-1
3.314020833E0,-9.551786957E0,-6.707102509E0,8.093669128E-1
3.324032833E0,-9.678273926E0,-7.226073303E0,1.008452911E0
3.334045833E0,-9.893825684E0,-7.981851654E0,1.476230164E0
3.344057833E0,-1.021161484E1,-8.227640533E0,1.944606171E0
3.354069833E0,-1.033391052E1,-8.618627472E0,1.539249115E0
3.364081833E0,-1.041623932E1,-8.843908997E0,8.583151245E-1
3.374093833E0,-1.055065979E1,-8.824599152E0,1.775308228E-1
3.384105833E0,-1.059811111E1,-8.709937592E0,-3.553610229E-1
3.394117833E0,-1.043135788E1,-8.773555298E0,-1.052311707E0
3.404130833E0,-1.007060806E1,-9.308991852E0,-1.685045929E0
3.414142833E0,-9.226663055E0,-9.366172943E0,-1.955683136E0
3.424154833E0,-7.622748413E0,-8.814719696E0,-1.397344208E0
3.434166833E0,-5.888454895E0,-8.576714630E0,-5.363346863E-1
3.444178833E0,-4.575834503E0,-8.873697052E0,1.158590698E-1
3.454190833E0,-3.843108215E0,-9.701625366E0,8.336164856E-1
3.464202833E0,-3.466341705E0,-1.058643539E1,1.574725342E0
3.474215833E0,-3.478316803E0,-1.107322311E1,2.255509644E0
3.484227833E0,-3.988156586E0,-1.088371719E1,2.629132690E0
3.494239833E0,-5.672903137E0,-8.327931976E0,2.083217926E0
3.504251833E0,-6.523284760E0,-7.520211639E0,3.383114777E0
3.514263833E0,-6.765930176E0,-6.990912323E0,3.719016266E0
3.524275833E0,-7.327861633E0,-5.402565308E0,1.958676910E0
3.534287833E0,-6.889273682E0,-6.797963562E0,8.925938416E-1
3.544300833E0,-6.953190765E0,-7.209158478E0,8.747808838E-1
3.554312833E0,-7.790100403E0,-6.517596588E0,1.253343658E0
3.564324833E0,-8.454269257E0,-5.960904236E0,1.593735809E0
3.574336833E0,-8.896898804E0,-5.514382782E0,1.854493561E0
3.584348500E0,-9.222471771E0,-5.403164062E0,2.374961243E0
3.594360500E0,-9.166488190E0,-5.630840607E0,3.059637451E0
3.604372500E0,-8.636739807E0,-5.846092987E0,3.399281158E0
3.614385500E0,-7.524253235E0,-5.887556763E0,2.907853088E0
3.624397500E0,-6.262976074E0,-5.874084778E0,1.968406677E0
3.634409500E0,-5.113965454E0,-6.007307739E0,1.610950012E0
3.644421500E0,-4.031117249E0,-6.188880157E0,1.889221344E0
3.654433500E0,-2.798879700E0,-6.258335724E0,2.509381714E0
3.664445500E0,-1.792372742E0,-6.128256226E0,2.971321106E0
3.674457500E0,-1.510059814E0,-5.665418701E0,3.043321381E0
3.684470500E0,-1.887574768E0,-5.234913940E0,2.897973633E0
3.694482500E0,-2.585423584E0,-5.295388184E0,2.871628418E0
3.704494500E0,-3.298540649E0,-5.461093597E0,2.755619659E0
3.714506500E0,-4.027375031E0,-5.257516937E0,2.490371246E0
3.724518500E0,-4.796325989E0,-4.964576111E0,2.498304749E0
3.734530500E0,-5.302573242E0,-4.923112335E0,2.977757721E0
3.744542500E0,-5.317392426E0,-4.854255524E0,3.674858093E0
3.754555500E0,-5.182073822E0,-4.453987885E0,4.274511108E0
3.764567500E0,-5.205275574E0,-3.875291290E0,4.653073883E0
3.774579500E0,-5.495222626E0,-3.437302094E0,4.992717590E0
3.784591500E0,-6.027964783E0,-3.290158081E0,5.389392700E0
3.794603500E0,-6.748266907E0,-3.239563293E0,5.937852173E0
3.804615500E0,-7.639663239E0,-3.409609680E0,6.657555542E0
3.814627500E0,-8.689879303E0,-3.808380432E0,7.403155060E0
3.824640500E0,-9.861642609E0,-4.397555237E0,7.720944214E0
3.834652500E0,-1.100002533E1,-5.045258331E0,7.501799927E0
3.844664500E0,-1.179577057E1,-5.754483490E0,6.839577026E0
3.854676500E0,-1.182121765E1,-6.235583038E0,5.973627777E0
3.864688500E0,-1.105376358E1,-6.229894867E0,5.509143677E0
3.874700500E0,-9.917476501E0,-6.108946381E0,5.253774719E0
3.884712500E0,-8.917705536E0,-6.049220581E0,5.124293976E0
3.894724500E0,-8.174201660E0,-6.099515991E0,5.343737640E0
3.904737500E0,-7.849077759E0,-6.403533783E0,5.979016571E0
3.914749500E0,-7.748786316E0,-6.929390259E0,5.689368896E0
3.924761500E0,-7.673343201E0,-7.748936005E0,3.956422577E0
3.934773500E0,-7.864795074E0,-8.306676178E0,2.652484131E0
3.944785500E0,-7.890092468E0,-8.484207001E0,1.885179749E0
3.954797500E0,-7.386988678E0,-8.404123535E0,1.242715759E0
3.964809500E0,-6.397995300E0,-8.306825867E0,7.503895569E-1
3.974822500E0,-5.292244720E0,-8.348888397E0,1.749861145E-1
3.984834500E0,-4.336482239E0,-8.738677826E0,-4.074526978E-1
