,Time (s),Gyroscope x (rad/s),Gyroscope y (rad/s),Gyroscope z (rad/s)
2838,14.68594804,2.210721254,1.173472166,0.04092797264
2839,14.69095304,2.125200272,1.27487576,-0.015882495790000003
2840,14.69595804,2.034792185,1.218676209,-0.021991148590000002
2841,14.70090204,1.9462167019999999,1.082453251,-0.026878070089999997
2842,14.70596804,1.85458684,0.8979719281,-0.02076941915
2843,14.71097304,1.777617812,0.6756169795999999,0.004276056774
2844,14.71591604,1.688431501,0.41966441270000004,0.01893682219
2845,14.72092104,1.610851645,0.1551597714,0.01221730467
2846,14.72592604,1.576032281,-0.2150245607,0.00122173049
2847,14.73093104,1.5882496830000001,-0.5534439086999999,-0.031764991580000006
2848,14.73593604,1.604132175,-0.8833111525,-0.06780604272999999
2849,14.74191704,1.6077973840000002,-1.24494338,-0.11056660859999999
2850,14.74796004,1.615127683,-1.494176388,-0.1111774743
2851,14.75296504,1.646892667,-1.561371565,-0.09224065392999999
2852,14.75797004,1.6963727469999998,-1.54976511,-0.06047565863
2853,14.76297404,1.730581284,-1.5112806559999998,-0.03848451003
2854,14.76791804,1.7544050219999998,-1.456302762,-0.027488935739999994
2855,14.77274004,1.745852828,-1.34756875,-0.05192354694
2856,14.77792804,1.703092337,-1.2803735729999999,-0.0720821023
2857,14.78293304,1.634064555,-1.196684957,-0.11545353380000001
2858,14.78793804,1.550986886,-1.1435397859999998,-0.1600466967
2859,14.79294304,1.453248382,-1.07939887,-0.1954768747
2860,14.79892404,1.339016676,-1.008538485,-0.2565633953
2861,14.80392904,1.262658477,-0.9474520087,-0.31398472190000004
2862,14.80893404,1.197906733,-0.87414819,-0.3946189582
2863,14.81393904,1.138652802,-0.7476990819,-0.4465425014
2864,14.81894304,1.102000952,-0.6462954283,-0.48808133600000003
2865,14.82394804,1.082453251,-0.5949827433,-0.5106833577000001
2866,14.82895304,1.075733662,-0.6084218025,-0.5210680366
2867,14.83389704,1.0732902290000002,-0.6890559793000001,-0.5143485069
2868,14.83896304,1.075733662,-0.8258898258,-0.4911356568
2869,14.84396804,1.073901057,-1.005484223,-0.4495968223
2870,14.84897304,1.064738154,-1.113607287,-0.4141666293
2871,14.85373304,1.058018565,-1.1594222779999999,-0.3585779071
2872,14.85873804,1.053742528,-1.1362093690000001,-0.3365867436
2873,14.86392604,1.03297317,-1.06290555,-0.2962696552
2874,14.86893104,1.016479731,-0.9456194043,-0.2657263875
2875,14.87393604,0.9987646937000001,-0.8020660877,-0.24862214920000003
2876,14.87894104,0.9633345007999999,-0.5937610269,-0.2547308207
2877,14.88394604,0.9205739498000001,-0.4392121136,-0.2706133127
2878,14.88895104,0.8631525636,-0.2974913716,-0.282830596
2879,14.89395604,0.8045095205,-0.17226399480000001,-0.2803871334
2880,14.89896004,0.7476990819,-0.08613199741000001,-0.2571742535
2881,14.90396504,0.6866125464,-0.03970624134,-0.232128799
2882,14.90897004,0.626136899,-0.02871066704,-0.1991420686
2883,14.91391404,0.531452775,-0.017715092749999998,-0.1716531366
2884,14.91995604,0.4294382632,0.04764748737,-0.1362229437
2885,14.92496104,0.35674530270000004,0.1362229437,-0.1056796908
2886,14.92996604,0.31520646809999997,0.21624629199999998,-0.07757988572
2887,14.93497104,0.3048217595,0.25045475359999997,-0.06658431142999999
2888,14.93991504,0.2895501256,0.2620611787,-0.02871066704
2889,14.94492004,0.2528982162,0.2577851415,0.017715092749999998
2890,14.94992504,0.19669860600000003,0.240070045,0.1056796908
2891,14.95492904,0.08491026609999999,0.2553416789,0.1710422635
2892,14.95993404,-0.0171042271,0.2687807083,0.1936442852
2893,14.96493904,-0.1087340117,0.19242255390000002,0.1954768747
2894,14.96994404,-0.2015855312,0.039095375689999996,0.18997909129999999
2895,14.97494904,-0.3072652221,-0.1197295859,0.2199114859
2896,14.97995404,-0.4202753007,-0.2596177161,0.2590068579
2897,14.98495904,-0.5320636034,-0.4074471295,0.287106663
2898,14.98996404,-0.624915123,-0.48075094820000003,0.28649580480000003
2899,14.99496804,-0.7367035151000001,-0.5076290368999999,0.3237585723
2900,14.99997304,-0.8564330935,-0.4740314186,0.4019493461
2901,15.00491704,-0.9950994849,-0.3213151097,0.5320636034
2902,15.00992204,-1.130711555,-0.02382374369,0.6707300544
2903,15.01492704,-1.270599723,0.3591887653,0.7757988572
2904,15.01993204,-1.455080986,0.8155050873999999,0.8442157506999999
2905,15.02597404,-1.649947047,1.087340117,0.8558222055
2906,15.03091804,-1.7971655130000002,1.1105530259999998,0.8338310718999999
2907,15.03592304,-1.897958279,0.9511171579000001,0.8057312368999999
2908,15.04092804,-2.010357618,0.6090326309,0.7898487448999999
2909,15.04593304,-2.160019398,0.19120082260000001,0.7696902156000001
2910,15.05093804,-2.353663683,-0.1631010175,0.7556403279
2911,15.05594204,-2.578462124,-0.4221078753,0.7757988572
2912,15.06094704,-2.816088676,-0.6927211881,0.7764097452
2913,15.06595204,-2.9009990689999996,-0.9010262489,0.7684684992
2914,15.07095704,-2.87778616,-1.0476338859999998,0.7733554243999999
2915,15.07596204,-2.786767244,-1.100168347,0.8008443117
2916,15.08096704,-2.6792550090000002,-1.119105101,0.8063421248999999
2917,15.08597204,-2.590679407,-1.111163855,0.7764097452
2918,15.09091504,-2.585792542,-1.0574077370000001,0.7269296646
2919,15.09592004,-2.7238481039999995,-0.9022479653000001,0.6633996367
2920,15.10092504,-2.89427948,-0.7519751190999999,0.5839871764
2921,15.10593004,-3.125186682,-0.5839871764,0.4813618064
2922,15.11093504,-3.3805282119999998,-0.44898596409999997,0.4037819207
2923,15.11594004,-3.627317905,-0.3689626157,0.3090978265
2924,15.12094504,-3.825238228,-0.330478102,0.1991420686
2925,15.12595004,-3.922365665,-0.4373795092,0.06047565863
2926,15.13095404,-3.792251348,-0.5479460955,-0.031764991580000006
2927,15.13595904,-3.4617733960000003,-0.6481280327000001,-0.06536258012
2928,15.14096404,-3.060434818,-0.8912523984999999,-0.034819319839999995
2929,15.14596904,-2.687196255,-1.299310327,0.054367005829999995
2930,15.15097404,-2.354885578,-1.8503108019999999,0.1466076523
2931,15.15591804,-2.082439661,-2.395813465,0.2095267773
2932,15.16092304,-1.912008166,-2.8215866089999997,0.2431243658
2933,15.16592704,-1.8600846530000001,-2.8509080410000003,0.290771842
2934,15.17093204,-1.8869627709999999,-2.66581583,0.3048217595
2935,15.17593704,-1.977981687,-2.224160433,0.31520646809999997
2936,15.18094204,-2.079996109,-1.584584475,0.3536909819
2937,15.18594704,-2.101376534,-0.7440338731,0.42455133799999994
2938,15.19095204,-1.989588141,0.3225368559,0.6230825782
2939,15.19595704,-1.867415071,1.460578799,0.7984008789
2940,15.20096204,-1.877188921,1.940718889,0.9071348906000001
2941,15.20596604,-2.025018215,2.015244484,0.8985827565000001
2942,15.21194804,-2.32128787,1.7293595080000002,0.8045095205
2943,15.21695304,-2.540588617,1.412931323,0.7061602473
2944,15.22195804,-2.7104091639999996,1.1582005020000001,0.6236934065999999
2945,15.22696204,-2.793486834,0.9804387093000001,0.5668829679
2946,15.23196704,-2.730567694,1.173472166,0.5485569835
2947,15.23697204,-2.55952549,1.6462818380000002,0.5381723046
2948,15.24191604,-2.350609541,2.1178698540000003,0.5198463202
2949,15.24692104,-2.16246295,2.467284679,0.4954117239
2950,15.25192604,-2.091602564,2.569299221,0.4636467099
2951,15.25687004,-2.072665691,2.516764879,0.4624249935
2952,15.26181304,-2.064113617,2.434298038,0.4984660447
2953,15.26694304,-2.064724445,2.2962424759999998,0.5888741016
2954,15.27182604,-2.064724445,2.199114799,0.6756169795999999
2955,15.27695304,-2.032959461,2.062281132,0.6982190012999999
2956,15.28293404,-1.945605755,1.9034560919999999,0.6811147331999999
