"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
2.333453250E1,2.294728088E0,-9.936486969E0,-1.551972656E0
2.334446650E1,3.036435699E0,-1.018826340E1,-1.521436157E0
2.335440050E1,1.403631134E0,-1.043180695E1,-7.699987793E-1
2.336433450E1,-1.114282837E0,-1.087892715E1,2.037263489E-1
2.337426850E1,-2.919379120E0,-1.151764893E1,1.104253693E0
2.338420250E1,-3.719764709E0,-1.216280731E1,1.729503479E0
2.339413650E1,-3.252586212E0,-1.282862274E1,2.091600494E0
2.340406950E1,-1.816322937E0,-1.365535355E1,1.599124603E0
2.341400350E1,1.032852173E-2,-1.432670746E1,2.109114075E-1
2.342393750E1,1.597328339E0,-1.397089737E1,-1.471290436E0
2.343387150E1,2.396815796E0,-1.295211594E1,-2.572550354E0
2.344380550E1,1.765877838E0,-1.408271484E1,-2.685265961E0
2.345373950E1,-4.336482239E-1,-1.714220261E1,-2.604284363E0
2.346367350E1,-2.391726379E0,-1.770563095E1,-3.066523132E0
2.347360750E1,-3.349584503E0,-1.573048828E1,-3.343147888E0
2.348354050E1,-4.205055542E0,-1.348276245E1,-3.049009552E0
2.349347450E1,-4.696333923E0,-1.157602753E1,-2.404300232E0
2.350340850E1,-4.288432159E0,-9.771380310E0,-2.042951660E0
2.351334250E1,-2.940036163E0,-8.186027069E0,-8.637039185E-1
2.352327650E1,-1.072519684E0,-8.603808289E0,-1.019679565E0
2.353321050E1,1.515897675E0,-1.119267471E1,-1.677112427E0
2.354314450E1,3.216511230E0,-1.423973831E1,-2.562670898E-1
2.355307850E1,4.454736328E0,-1.653117325E1,2.474803619E0
2.356301150E1,5.463937683E0,-1.715732117E1,3.825444946E0
2.357294550E1,5.718857574E0,-1.645393387E1,2.569706268E0
2.358287950E1,3.997437286E0,-1.512350052E1,-1.884580994E-1
2.359281350E1,9.154962158E-1,-1.393961243E1,-2.752176819E0
2.360274750E1,-1.046922913E0,-1.324610458E1,-4.192182312E0
2.361268150E1,-1.901795197E0,-1.315284851E1,-3.955075378E0
2.362261550E1,-2.109413452E0,-1.312560516E1,-2.453248444E0
2.363254950E1,-1.111289062E0,-1.313503555E1,-6.664141846E-1
2.364248350E1,7.608677673E-1,-1.266112106E1,1.006656647E0
2.365241650E1,2.119143219E0,-1.166224823E1,1.665287018E0
2.366235050E1,2.640808411E0,-1.058598633E1,1.816772003E0
2.367228450E1,2.664908295E0,-9.606123962E0,1.736688538E0
