"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
1.160788512E1,6.373745728E-1,-9.119186554E0,-1.208437042E0
1.161793512E1,7.391629028E-1,-9.117689667E0,-1.222807159E0
1.162798612E1,7.755372620E-1,-9.063202972E0,-1.281036072E0
1.163803612E1,7.366181946E-1,-9.024732971E0,-1.431323547E0
1.164808612E1,6.408174133E-1,-8.978179779E0,-1.566492462E0
1.165813612E1,6.267466736E-1,-8.923992462E0,-1.637744293E0
1.166818612E1,7.963439941E-1,-8.909472656E0,-1.587897949E0
1.167823612E1,1.052012329E0,-8.872349854E0,-1.539398804E0
1.168828612E1,1.267414398E0,-8.792116699E0,-1.526375885E0
1.169833612E1,1.455273743E0,-8.781788177E0,-1.518741760E0
1.170838612E1,1.674268341E0,-8.858578491E0,-1.522783356E0
1.171843712E1,1.875899048E0,-9.009913788E0,-1.619482269E0
1.172848712E1,2.060614929E0,-9.091344452E0,-1.721120911E0
1.173853712E1,2.143991547E0,-9.104217682E0,-1.834435272E0
1.174858712E1,2.109712830E0,-9.115294647E0,-1.868414612E0
1.175863712E1,2.193987579E0,-9.161997528E0,-1.857786713E0
1.176868712E1,2.338886261E0,-9.334289246E0,-1.911674652E0
1.177873712E1,2.596350861E0,-9.508077850E0,-2.012714539E0
1.178878712E1,2.757864990E0,-9.504934387E0,-2.206711121E0
1.179883712E1,2.772983551E0,-9.364376678E0,-2.355651398E0
1.180888812E1,2.717898102E0,-9.126072235E0,-2.296973419E0
1.181893812E1,2.576442261E0,-8.845555573E0,-2.064656525E0
1.182898812E1,2.346670074E0,-8.627758484E0,-1.746717682E0
1.183903812E1,1.986519012E0,-8.461753693E0,-1.527872772E0
1.184908812E1,1.604812775E0,-8.361312561E0,-1.513203278E0
1.185913812E1,1.283431091E0,-8.431217194E0,-1.545685730E0
1.186918812E1,1.183289337E0,-8.684789886E0,-1.624871063E0
1.187923812E1,1.373394012E0,-9.397008820E0,-1.650467834E0
1.188928912E1,1.640887756E0,-1.080722626E1,-1.286724243E0
1.189933912E1,1.921404419E0,-1.250319946E1,-7.957452393E-1
1.190938912E1,2.323168945E0,-1.408241547E1,-9.274713135E-1
1.191943912E1,2.621947632E0,-1.570070023E1,-1.075962524E0
1.192948912E1,2.466870117E0,-1.716929626E1,-6.950047302E-1
