,Time (s),X (m/s^2),Y (m/s^2),Z (m/s^2)
7305,73.10241237,3.6519557189999996,-11.50956573,0.6553372192
7306,73.11241937,1.836680603,-11.50357819,0.11526031490000001
7307,73.12242637,-0.06541397095,-11.13100296,-0.8936416626000001
7308,73.13243337,-1.567839661,-11.5697406,-0.7967930603
7309,73.14244037,-2.922971649,-12.60064682,0.11900253300000001
7310,73.15244838,-4.235592041,-13.61269226,0.7274871826
7311,73.16245537,-5.202132111,-14.68940323,1.240919495
7312,73.17246238,-5.9737774660000005,-15.18696854,1.850901031
7313,73.18246937,-6.190077667000001,-14.8742688,2.526446228
7314,73.19247737,-5.8445961,-13.85803207,2.942431183
7315,73.20248437,-5.42801239,-12.75243118,2.87611908
7316,73.21249137,-4.851710815,-11.96866104,2.362537079
7317,73.22249837,-3.607647858,-11.85295166,1.317709808
7318,73.23250537,-1.9806811519999998,-12.07853256,0.2739303589
7319,73.24251338,-0.6087840271,-12.05727676,0.04026626587
7320,73.25252037,0.1758842468,-11.8736087,-0.68332901
7321,73.26252738,0.2582130432,-11.12217133,-0.8349636841
7322,73.27253437,0.4046086121,-10.50051407,0.2077679443
7323,73.28254138,0.853225708,-10.18317398,1.184486847
7324,73.29254937,1.3585748290000002,-10.02375549,1.383423157
7325,73.30255637,1.407073975,-9.824819182999999,0.9292675781
7326,73.31256337,0.8770262146,-9.501940613,-0.3921844482
7327,73.32257037,0.4960684204,-9.235644379,-0.9702822876
7328,73.33257737,0.8348139954000001,-9.030570831,0.3911366272
7329,73.34258537,0.569715271,-8.759185181,0.6048921204
7330,73.35259238,-0.09430389403999999,-8.508007507,-0.09520202637
7331,73.36259937,-0.1481918335,-8.326884155,0.2577639771
7332,73.37260638,-0.1648072815,-8.423882446,0.1487905884
7333,73.38261437,-0.40550674439999995,-8.465046844,-0.1751358032
7334,73.39262137,-0.7286846924,-8.381969604,-0.2149530029
7335,73.40262837,-0.9839039612,-8.167615356,0.01407073975
7336,73.41263537,-1.279239807,-7.65702713,-0.1097218323
7337,73.42264237,-1.4477893069999999,-7.12937439,-0.3620970154
7338,73.43265037,-1.4864089969999998,-6.587052155,-0.5674699402000001
